"ID","Player","Team","Position","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros"
"*05uns*","Leon Bailey","AVL","M","FA","27","NEW Sat 7:30AM","74.5","0","0","-","0%"
"*04io4*","Richarlison","TOT","F","FA","28","BUR Sat 10:00AM","74","0","2","1246.4","2%"
"*04tm0*","Lucas Digne","AVL","D","FA","31","NEW Sat 7:30AM","72.75","0","69","137.4","72%"
"*04o82*","Curtis Jones","LIV","M","ThatGuy","24","BOU Fri 3:00PM","72.25","0","2","1251.4","8%"
"*063zi*","Matheus Nunes","MCI","D","KLPD","26","@WOL Sat 12:30PM","70.5","0","93","115.1","90%"
"*02m11*","Matt Doherty","WOL","D","Deekay","33","MCI Sat 12:30PM","69.5","0","2","1239.4","2%"
"*061x2*","Darwin Nunez","LIV","F","ThatGuy","26","BOU Fri 3:00PM","69.25","0","41","170.8","22%"
"*06cm1*","Nicolas Jackson","CHE","F","saj","24","CRY Sun 9:00AM","67.75","0","100","95.2","92%"
"*065ao*","Ethan Nwaneri","ARS","M","Martial","18","@MUN Sun 11:30AM","67.5","0","97","110","92%"
"*062h9*","Luis Sinisterra","BOU","F","FA","26","@LIV Fri 3:00PM","66.75","0","2","1218.4","5%"
"*06nu7*","Riccardo Calafiori","ARS","D","TMKT","23","@MUN Sun 11:30AM","65.25","0","39","161.9","42%"
"*05w7t*","Pape Sarr","TOT","M","ThatGuy","22","BUR Sat 10:00AM","64.75","0","2","1227.4","5%"
"*04ge6*","Joe Willock","NEW","M","FA","25","@AVL Sat 7:30AM","63.5","0","2","1245.4","2%"
"*05ye7*","Oscar Bobb","MCI","M","FA","22","@WOL Sat 12:30PM","62.75","0","41","169.8","32%"
"*03xrs*","Axel Tuanzebe","BUR","D","FA","27","@TOT Sat 10:00AM","62.5","0","2","1204.2","2%"
"*03yeg*","Tosin Adarabioyo","CHE","D","FA","27","CRY Sun 9:00AM","61","0","2","1152.4","5%"
"*06mve*","Joshua Zirkzee","MUN","F","FA","24","ARS Sun 11:30AM","60.25","0","10","312.1","15%"
"*06uyd*","Diego Coppola","BHA","D","FA","21","FUL Sat 10:00AM","58.25","0","3","407.1","5%"
"*06phe*","Ferdi Kadioglu","BHA","D","FA","25","FUL Sat 10:00AM","57.75","0","14","308.6","15%"
"*05vyc*","Aaron Ramsey","BUR","M","FA","22","@TOT Sat 10:00AM","57.25","0","0","-","0%"
"*06yb7*","Gabriel Gudmundsson","LEE","D","FA","26","EVE Mon 3:00PM","56.5","0","2","1093","3%"
"*06ybq*","Chemsdine Talbi","SUN","F","FA","20","WHU Sat 10:00AM","56.5","0","7","343.1","3%"
"*03sbh*","Enes Unal","BOU","F","FA","28","@LIV Fri 3:00PM","56.25","0","0","-","0%"
"*052cd*","Mason Mount","MUN","M","FA","26","ARS Sun 11:30AM","55.5","0","37","188.3","28%"
"*06clz*","Malo Gusto","CHE","D","FA","22","CRY Sun 9:00AM","55.25","0","22","197.1","28%"
"*06mx0*","Leny Yoro","MUN","D","FA","19","ARS Sun 11:30AM","55.25","0","2","1137.4","10%"
"*06xzc*","Stefanos Tzimas","BHA","F","FA","19","FUL Sat 10:00AM","53.5","0","2","1227.2","5%"
"*05ts6*","Yerson Mosquera","WOL","D","FA","24","MCI Sat 12:30PM","52.5","0","32","145.3","38%"
"*02lp9*","Kyle Walker","BUR","D","FA","35","@TOT Sat 10:00AM","51.5","0","4","441.6","8%"
"*04ml6*","Konstantinos Mavropanos","WHU","D","ThatGuy","27","@SUN Sat 10:00AM","51.25","0","0","-","0%"
"*0435t*","Ilkay Gundogan","MCI","M","FA","34","@WOL Sat 12:30PM","51","0","2","1205.4","5%"
"*06uns*","Tom Watson","BHA","F","FA","19","FUL Sat 10:00AM","50","0","0","-","2%"
"*04lav*","Ethan Ampadu","LEE","D","FA","24","EVE Mon 3:00PM","49.75","0","2","1167.4","2%"
"*02lk5*","Jordan Henderson","BRF","M","FA","35","@NOT Sun 9:00AM","48.75","0","4","398.6","3%"
"*066sh*","Bashir Humphreys","BUR","D","FA","22","@TOT Sat 10:00AM","48","0","0","-","0%"
"*06fwx*","Santiago Bueno","WOL","D","FA","26","MCI Sat 12:30PM","46.75","0","0","-","0%"
"*05a6d*","Tariq Lamptey","BHA","D","FA","24","FUL Sat 10:00AM","46.5","0","0","-","0%"
"*05opl*","Wesley Fofana","CHE","D","FA","24","CRY Sun 9:00AM","45.5","0","2","1233.4","2%"
"*05t6z*","Tim Iroegbunam","EVE","M","FA","22","@LEE Mon 3:00PM","44","0","0","-","2%"
"*04xjr*","Harvey Elliott","LIV","M","FA","22","BOU Fri 3:00PM","41.75","0","36","151.4","52%"
"*04u41*","Mateo Kovacic","MCI","M","PMSWJ","31","@WOL Sat 12:30PM","41.5","0","0","-","2%"
"*0649j*","Manuel Akanji","MCI","D","Haha","30","@WOL Sat 12:30PM","39.5","0","2","1121.4","8%"
"*06y9o*","Igor Jesus Maciel da Cruz","NOT","F","FA","24","BRF Sun 9:00AM","39","0","17","255.6","10%"
